inspection_id,firm_id,year,area,grade,findings_count
IN-0001,F01,2021,Estimates & judgements,Unacceptable,4
IN-0002,F01,2023,Revenue,Limited improvements needed,7
IN-0003,F01,2021,Impairment,Improvements needed,6
IN-0004,F01,2024,Engagement quality review,Improvements needed,4
IN-0005,F01,2021,Engagement quality review,Good,3
IN-0006,F01,2025,Revenue,Significant improvements needed,4
IN-0007,F01,2022,Revenue,Significant improvements needed,9
IN-0008,F01,2025,Engagement quality review,Significant improvements needed,7
IN-0009,F01,2024,Group audit oversight,Improvements needed,12
IN-0010,F01,2024,Journals & controls,Improvements needed,8
IN-0011,F01,2023,Group audit oversight,Significant improvements needed,9
IN-0012,F01,2024,Group audit oversight,Significant improvements needed,8
IN-0013,F01,2021,Engagement quality review,Good,9
IN-0014,F01,2022,Revenue,Good,11
IN-0015,F01,2023,Engagement quality review,Unacceptable,6
IN-0016,F01,2023,Journals & controls,Improvements needed,10
IN-0017,F01,2025,Estimates & judgements,Improvements needed,3
IN-0018,F01,2023,Group audit oversight,Good,3
IN-0019,F01,2023,Estimates & judgements,Significant improvements needed,12
IN-0020,F01,2024,Impairment,Improvements needed,4
IN-0021,F01,2023,Going concern,Improvements needed,4
IN-0022,F01,2024,Estimates & judgements,Improvements needed,5
IN-0023,F01,2025,Engagement quality review,Unacceptable,11
IN-0024,F01,2021,Engagement quality review,Limited improvements needed,4
IN-0025,F01,2023,Impairment,Significant improvements needed,10
IN-0026,F01,2022,Revenue,Unacceptable,10
IN-0027,F01,2025,Estimates & judgements,Limited improvements needed,5
IN-0028,F01,2021,Journals & controls,Limited improvements needed,3
IN-0029,F01,2022,Group audit oversight,Unacceptable,9
IN-0030,F01,2023,Group audit oversight,Limited improvements needed,10
IN-0031,F01,2021,Impairment,Significant improvements needed,10
IN-0032,F01,2021,Group audit oversight,Significant improvements needed,6
IN-0033,F01,2025,Impairment,Significant improvements needed,4
IN-0034,F01,2023,Journals & controls,Improvements needed,9
IN-0035,F01,2025,Going concern,Unacceptable,6
IN-0036,F01,2022,Group audit oversight,Improvements needed,4
IN-0037,F01,2021,Journals & controls,Limited improvements needed,12
IN-0038,F01,2022,Revenue,Significant improvements needed,12
IN-0039,F01,2023,Group audit oversight,Limited improvements needed,9
IN-0040,F01,2025,Group audit oversight,Significant improvements needed,3
IN-0041,F01,2025,Engagement quality review,Significant improvements needed,9
IN-0042,F01,2024,Group audit oversight,Improvements needed,5
IN-0043,F01,2025,Impairment,Significant improvements needed,6
IN-0044,F01,2021,Impairment,Improvements needed,10
IN-0045,F01,2023,Group audit oversight,Limited improvements needed,6
IN-0046,F01,2024,Estimates & judgements,Significant improvements needed,12
IN-0047,F01,2023,Journals & controls,Limited improvements needed,3
IN-0048,F01,2025,Impairment,Improvements needed,4
IN-0049,F01,2023,Journals & controls,Unacceptable,12
IN-0050,F02,2024,Estimates & judgements,Significant improvements needed,10
IN-0051,F02,2023,Going concern,Significant improvements needed,3
IN-0052,F02,2023,Journals & controls,Limited improvements needed,6
IN-0053,F02,2022,Revenue,Significant improvements needed,5
IN-0054,F02,2024,Group audit oversight,Significant improvements needed,5
IN-0055,F02,2021,Group audit oversight,Significant improvements needed,9
IN-0056,F02,2024,Engagement quality review,Unacceptable,9
IN-0057,F02,2024,Journals & controls,Good,7
IN-0058,F02,2023,Estimates & judgements,Significant improvements needed,11
IN-0059,F02,2024,Group audit oversight,Limited improvements needed,12
IN-0060,F02,2021,Journals & controls,Unacceptable,7
IN-0061,F02,2024,Impairment,Significant improvements needed,5
IN-0062,F02,2024,Group audit oversight,Significant improvements needed,5
IN-0063,F02,2022,Journals & controls,Limited improvements needed,6
IN-0064,F02,2021,Engagement quality review,Improvements needed,12
IN-0065,F02,2021,Engagement quality review,Significant improvements needed,5
IN-0066,F02,2024,Going concern,Unacceptable,5
IN-0067,F02,2021,Going concern,Limited improvements needed,5
IN-0068,F02,2021,Impairment,Limited improvements needed,8
IN-0069,F02,2025,Estimates & judgements,Improvements needed,9
IN-0070,F02,2022,Estimates & judgements,Good,9
IN-0071,F02,2024,Impairment,Improvements needed,5
IN-0072,F02,2024,Engagement quality review,Significant improvements needed,4
IN-0073,F02,2024,Journals & controls,Unacceptable,9
IN-0074,F02,2023,Going concern,Significant improvements needed,8
IN-0075,F02,2021,Revenue,Limited improvements needed,4
IN-0076,F02,2024,Impairment,Significant improvements needed,6
IN-0077,F02,2021,Impairment,Significant improvements needed,10
IN-0078,F02,2023,Revenue,Significant improvements needed,12
IN-0079,F02,2022,Journals & controls,Improvements needed,9
IN-0080,F02,2023,Revenue,Significant improvements needed,8
IN-0081,F02,2021,Engagement quality review,Significant improvements needed,11
IN-0082,F02,2022,Journals & controls,Improvements needed,3
IN-0083,F02,2024,Impairment,Significant improvements needed,11
IN-0084,F02,2024,Engagement quality review,Good,12
IN-0085,F02,2025,Engagement quality review,Significant improvements needed,4
IN-0086,F02,2022,Revenue,Unacceptable,5
IN-0087,F02,2025,Revenue,Significant improvements needed,11
IN-0088,F02,2024,Revenue,Significant improvements needed,3
IN-0089,F02,2022,Journals & controls,Significant improvements needed,5
IN-0090,F02,2021,Engagement quality review,Significant improvements needed,3
IN-0091,F02,2021,Impairment,Unacceptable,7
IN-0092,F02,2023,Estimates & judgements,Unacceptable,9
IN-0093,F02,2021,Revenue,Limited improvements needed,11
IN-0094,F02,2023,Going concern,Significant improvements needed,5
IN-0095,F02,2025,Group audit oversight,Improvements needed,11
IN-0096,F02,2023,Impairment,Significant improvements needed,6
IN-0097,F02,2021,Revenue,Significant improvements needed,6
IN-0098,F03,2021,Group audit oversight,Limited improvements needed,6
IN-0099,F03,2022,Estimates & judgements,Significant improvements needed,12
IN-0100,F03,2023,Journals & controls,Improvements needed,12
IN-0101,F03,2024,Group audit oversight,Good,7
IN-0102,F03,2024,Estimates & judgements,Significant improvements needed,9
IN-0103,F03,2024,Group audit oversight,Good,9
IN-0104,F03,2022,Revenue,Significant improvements needed,7
IN-0105,F03,2022,Impairment,Significant improvements needed,11
IN-0106,F03,2025,Engagement quality review,Limited improvements needed,5
IN-0107,F03,2023,Going concern,Unacceptable,9
IN-0108,F03,2021,Estimates & judgements,Unacceptable,4
IN-0109,F03,2023,Revenue,Limited improvements needed,11
IN-0110,F03,2024,Journals & controls,Good,4
IN-0111,F03,2023,Engagement quality review,Unacceptable,7
IN-0112,F03,2022,Estimates & judgements,Unacceptable,7
IN-0113,F03,2021,Estimates & judgements,Limited improvements needed,9
IN-0114,F03,2021,Revenue,Significant improvements needed,5
IN-0115,F03,2025,Group audit oversight,Significant improvements needed,12
IN-0116,F03,2024,Group audit oversight,Limited improvements needed,12
IN-0117,F03,2023,Impairment,Significant improvements needed,4
IN-0118,F03,2021,Engagement quality review,Limited improvements needed,9
IN-0119,F03,2022,Journals & controls,Improvements needed,11
IN-0120,F03,2025,Engagement quality review,Significant improvements needed,9
IN-0121,F03,2024,Group audit oversight,Significant improvements needed,3
IN-0122,F03,2025,Journals & controls,Significant improvements needed,5
IN-0123,F03,2022,Journals & controls,Improvements needed,7
IN-0124,F03,2021,Journals & controls,Unacceptable,8
IN-0125,F03,2022,Going concern,Significant improvements needed,10
IN-0126,F03,2022,Group audit oversight,Improvements needed,10
IN-0127,F03,2025,Going concern,Improvements needed,11
IN-0128,F03,2022,Engagement quality review,Improvements needed,4
IN-0129,F03,2023,Group audit oversight,Improvements needed,4
IN-0130,F03,2021,Estimates & judgements,Good,4
IN-0131,F03,2022,Revenue,Significant improvements needed,7
IN-0132,F03,2025,Engagement quality review,Unacceptable,3
IN-0133,F03,2024,Journals & controls,Significant improvements needed,5
IN-0134,F03,2024,Journals & controls,Improvements needed,11
IN-0135,F03,2021,Impairment,Improvements needed,6
IN-0136,F03,2021,Journals & controls,Significant improvements needed,11
IN-0137,F03,2023,Journals & controls,Limited improvements needed,11
IN-0138,F03,2025,Going concern,Good,5
IN-0139,F03,2025,Estimates & judgements,Unacceptable,4
IN-0140,F03,2023,Impairment,Unacceptable,8
IN-0141,F03,2021,Going concern,Improvements needed,5
IN-0142,F03,2023,Group audit oversight,Unacceptable,6
IN-0143,F03,2025,Engagement quality review,Unacceptable,4
IN-0144,F04,2023,Group audit oversight,Good,2
IN-0145,F04,2022,Journals & controls,Good,4
IN-0146,F04,2024,Group audit oversight,Good,5
IN-0147,F04,2025,Revenue,Improvements needed,3
IN-0148,F04,2025,Revenue,Improvements needed,2
IN-0149,F04,2021,Group audit oversight,Limited improvements needed,2
IN-0150,F04,2023,Group audit oversight,Good,5
IN-0151,F04,2022,Revenue,Good,0
