firm_id,year,headcount,staff_turnover_pct,chargeable_hours_per_head,partner_hours_per_audit,vacancy_rate_pct
F01,2023,405,22.1,1605,59,12.7
F01,2024,458,23.9,1603,65,11.6
F01,2025,328,25.0,1623,62,10.2
F02,2023,275,18.9,1642,54,10.9
F02,2024,571,19.1,1624,68,12.4
F02,2025,281,20.3,1589,55,8.9
F03,2023,310,20.9,1585,62,10.0
F03,2024,533,22.7,1647,60,9.5
F03,2025,210,23.5,1656,69,15.3
F04,2023,561,8.4,1434,107,7.0
F04,2024,560,9.8,1464,106,5.3
F04,2025,402,7.8,1487,112,2.7
F05,2023,523,10.2,1416,97,3.2
F05,2024,422,10.6,1486,96,5.6
F05,2025,545,9.7,1400,92,6.2
F06,2023,353,12.5,1416,96,4.2
F06,2024,331,10.7,1407,100,6.4
F06,2025,517,9.4,1391,97,6.1
F07,2023,354,12.7,1444,103,5.8
F07,2024,493,13.4,1458,91,3.6
F07,2025,542,10.5,1394,111,2.7
F08,2023,430,15.4,1470,107,5.0
F08,2024,583,13.6,1440,94,3.0
F08,2025,413,12.4,1439,88,4.4
F09,2023,467,12.0,1428,84,2.9
F09,2024,230,10.6,1394,108,5.4
F09,2025,235,9.4,1415,84,6.6
F10,2023,289,10.0,1474,98,2.3
F10,2024,405,9.0,1391,87,3.6
F10,2025,340,11.0,1410,85,2.6
F11,2023,339,11.8,1500,88,2.6
F11,2024,361,9.6,1494,104,5.3
F11,2025,434,8.9,1429,100,3.0
F12,2023,243,12.5,1390,86,4.2
F12,2024,449,13.0,1493,89,4.6
F12,2025,590,12.6,1452,96,4.3
