audit_id,firm_id,sector,year,priority_score,current_audit_risk,firm_staffing_quality,past_inspections_fixes,market_importance,band,complexity,it_reliance,group_structure,estimate_heavy,red_flags
AU-0001,F01,Public interest entity,2025,30,13,9,4,4,routine,Low,Low,False,False,
AU-0002,F01,Listed manufacturing,2025,45,16,22,3,4,ask,Low,Medium,False,True,Goodwill or asset impairment risk; Partner involvement hours below plan
AU-0003,F01,Technology,2025,39,11,11,9,8,ask,Low,Low,True,True,Goodwill or asset impairment risk; Multi-component group audit
AU-0004,F01,Asset management,2025,65,31,22,8,4,deep-dive,High,High,False,False,Significant judgement in revenue recognition; Complex accounting estimates; Heavy reliance on client IT systems; Partner involvement hours below plan; Overdue remediation on this engagement
AU-0005,F01,Retail group,2025,39,17,12,5,5,ask,Medium,Medium,False,False,
AU-0006,F01,Insurance,2025,33,17,11,0,5,routine,Medium,Low,False,False,
AU-0007,F01,Public interest entity,2025,31,10,13,5,3,routine,Low,Low,False,False,
AU-0008,F01,Insurance,2025,41,14,19,5,3,ask,Low,High,False,False,Heavy reliance on client IT systems
AU-0009,F01,Real estate,2025,53,16,27,7,3,group,Low,Medium,False,False,Audit team below planned staffing; Partner involvement hours below plan
AU-0010,F01,Technology,2025,39,15,17,5,2,ask,Low,Medium,False,False,
AU-0011,F01,Healthcare,2025,57,17,32,4,4,group,Medium,Low,True,False,Multi-component group audit; Audit team below planned staffing
AU-0012,F01,Insurance,2025,25,8,12,2,3,routine,Low,Low,False,False,
AU-0013,F01,Energy & utilities,2025,31,10,9,5,7,routine,Low,Low,False,False,
AU-0014,F01,Retail group,2025,75,37,25,7,6,deep-dive,High,High,False,True,Significant judgement in revenue recognition; Complex accounting estimates; Goodwill or asset impairment risk; Heavy reliance on client IT systems; Audit team below planned staffing
AU-0015,F01,Banking,2025,74,34,32,3,5,deep-dive,High,Medium,True,True,Significant judgement in revenue recognition; Complex accounting estimates; Goodwill or asset impairment risk; Multi-component group audit; Audit team below planned staffing
AU-0016,F01,Insurance,2025,49,17,18,10,4,ask,Medium,Low,False,False,Repeat finding from a prior inspection; Overdue remediation on this engagement
AU-0017,F01,Public interest entity,2025,52,19,18,10,5,group,Medium,Medium,False,False,Repeat finding from a prior inspection; Overdue remediation on this engagement
AU-0018,F01,Energy & utilities,2025,67,32,30,2,3,deep-dive,High,High,False,False,Significant judgement in revenue recognition; Complex accounting estimates; Heavy reliance on client IT systems; Audit team below planned staffing; Partner involvement hours below plan
AU-0019,F01,Banking,2025,32,6,19,0,7,routine,Low,Low,False,True,Goodwill or asset impairment risk
AU-0020,F01,Technology,2025,32,9,13,5,5,routine,Low,Medium,False,False,
AU-0021,F01,Real estate,2025,41,17,17,4,3,ask,Medium,Low,False,False,
AU-0022,F01,Banking,2025,42,13,21,4,4,ask,Low,Medium,False,False,Partner involvement hours below plan
AU-0023,F01,Retail group,2025,19,5,2,7,5,routine,Low,Low,False,False,Overdue remediation on this engagement
AU-0024,F01,Public interest entity,2025,36,10,14,6,6,ask,Low,High,True,False,Heavy reliance on client IT systems; Multi-component group audit
AU-0025,F01,Healthcare,2025,47,20,19,4,4,ask,Medium,Low,False,False,
AU-0026,F01,Real estate,2025,32,9,15,4,4,routine,Low,Low,False,False,
AU-0027,F01,Retail group,2025,39,11,23,4,1,ask,Low,Medium,False,False,Partner involvement hours below plan
AU-0028,F01,Public interest entity,2025,38,21,14,0,3,ask,Medium,Low,False,False,
AU-0029,F01,Insurance,2025,88,36,35,10,7,deep-dive,High,High,False,True,Significant judgement in revenue recognition; Complex accounting estimates; Goodwill or asset impairment risk; Heavy reliance on client IT systems; Audit team below planned staffing
